Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge
Female,73,No,0,0,2,,Yes,25.74,No,Yes,DSL,6.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,54.85
Female,75,Yes,0,1,8,,Yes,46.05,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.0
Female,23,No,0,0,13,,Yes,6.56,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.4
Female,21,Yes,0,6,24,,Yes,9.3,Yes,Yes,DSL,27.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,66.3
Male,52,Yes,0,8,71,Offer A,Yes,29.11,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.7
Male,56,Yes,0,1,72,Offer A,Yes,29.29,Yes,Yes,DSL,30.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,82.3
Male,47,No,0,0,8,Offer E,Yes,24.76,Yes,Yes,Fiber Optic,2.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.55
Female,55,No,0,0,18,,Yes,13.65,Yes,Yes,Fiber Optic,5.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.0
Female,22,Yes,2,4,65,Offer B,Yes,13.25,Yes,Yes,Fiber Optic,47.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109.3
Female,50,No,2,0,13,,No,0.0,No,Yes,Cable,19.0,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,30.15
Female,62,No,0,0,5,Offer E,Yes,43.51,No,Yes,Fiber Optic,17.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.4
Male,34,Yes,1,3,50,,Yes,41.58,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.25
Male,34,No,0,0,26,,Yes,37.59,Yes,Yes,Fiber Optic,8.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,92.4
Male,47,Yes,0,3,7,Offer E,No,0.0,No,Yes,DSL,17.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,34.2
Male,30,No,0,0,5,Offer E,Yes,34.26,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,21.05
Female,62,No,0,0,17,Offer D,Yes,44.96,Yes,Yes,Fiber Optic,29.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,80.05
Female,74,No,0,0,2,Offer E,Yes,15.32,No,Yes,Fiber Optic,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6
Male,64,No,0,0,34,Offer C,Yes,22.41,Yes,Yes,Fiber Optic,13.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,116.25
Male,37,Yes,2,1,60,,Yes,28.45,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,23.95
Female,62,Yes,0,3,56,Offer B,Yes,7.0,No,Yes,Fiber Optic,18.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7
Male,49,No,0,0,62,Offer B,Yes,48.72,No,Yes,DSL,2.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4
Male,25,Yes,3,1,72,,Yes,20.79,Yes,Yes,Fiber Optic,59.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,97.75
Female,27,Yes,0,1,68,Offer A,Yes,1.29,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,118.6
Female,49,No,0,0,1,,Yes,18.34,No,Yes,Fiber Optic,6.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.4
Female,33,Yes,0,1,3,,Yes,31.61,Yes,Yes,Fiber Optic,20.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,91.5
Female,77,No,0,0,21,,Yes,37.4,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4
Female,51,Yes,1,5,13,Offer D,Yes,19.63,No,Yes,DSL,12.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,54.15
Male,68,No,0,0,19,Offer D,Yes,28.12,Yes,Yes,Fiber Optic,25.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6
Male,56,No,0,0,31,,Yes,25.58,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.4
Male,40,No,0,0,29,,No,0.0,No,Yes,DSL,27.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,34.3
Male,48,No,0,0,54,Offer B,Yes,27.3,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.0
Female,27,Yes,0,10,23,,No,0.0,No,Yes,DSL,42.0,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Credit Card,34.6
Female,58,No,0,0,45,,Yes,1.57,Yes,Yes,Fiber Optic,30.0,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,96.75
Male,29,Yes,0,1,29,Offer C,Yes,26.03,Yes,Yes,Fiber Optic,47.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15
Male,61,Yes,0,1,64,,Yes,4.76,No,Yes,Fiber Optic,8.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.05
Female,42,Yes,0,2,71,Offer A,Yes,24.71,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.95
Female,57,Yes,0,1,30,,Yes,21.14,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.55
Female,40,Yes,2,9,51,Offer B,Yes,29.56,Yes,Yes,Fiber Optic,27.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.75
Female,58,Yes,1,6,72,,Yes,17.33,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.55
Male,35,Yes,3,9,15,Offer D,Yes,49.36,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.5
Male,44,No,0,0,12,Offer D,Yes,9.6,No,Yes,Cable,23.0,No,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,59.8
Male,75,Yes,0,1,37,Offer C,Yes,46.61,Yes,Yes,Fiber Optic,26.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7
Male,43,Yes,0,1,72,Offer A,Yes,38.3,Yes,Yes,Fiber Optic,3.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,97.95
Male,58,Yes,0,1,28,Offer C,Yes,9.62,Yes,Yes,Fiber Optic,24.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,106.1
Female,62,Yes,0,1,6,,Yes,31.7,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.5
Male,54,Yes,0,8,62,,Yes,34.62,Yes,Yes,Fiber Optic,28.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,107.6
Female,46,No,0,0,54,,Yes,36.68,No,Yes,DSL,28.0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,80.6
Male,25,Yes,1,6,33,,Yes,5.86,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.45
Female,54,Yes,0,4,8,Offer E,Yes,9.88,Yes,Yes,Fiber Optic,4.0,No,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.25
Male,57,Yes,2,4,42,Offer B,Yes,9.33,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.25
Female,45,Yes,0,1,5,,Yes,9.23,No,Yes,Fiber Optic,25.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,99.15
Female,21,Yes,3,7,20,,Yes,15.29,Yes,Yes,Cable,59.0,Yes,No,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,76.0
Male,30,No,0,0,1,Offer E,Yes,44.59,No,Yes,Fiber Optic,41.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.6
Male,45,No,0,0,45,,Yes,19.39,No,Yes,DSL,16.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.9
Female,79,Yes,1,5,14,,Yes,14.39,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,95.8
Female,23,No,0,0,1,Offer E,Yes,44.11,No,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7
Male,27,No,0,0,4,Offer E,Yes,44.16,Yes,Yes,Fiber Optic,82.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.1
Female,64,Yes,0,6,43,,Yes,21.08,Yes,Yes,Cable,14.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.45
Male,55,No,0,0,56,Offer B,Yes,49.36,No,Yes,DSL,21.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,81.8
Male,67,No,0,0,19,,Yes,16.78,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.85
Male,62,Yes,2,8,4,,Yes,3.57,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.5
Female,43,Yes,0,1,72,Offer A,Yes,24.89,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117.15
Male,64,No,0,0,35,,Yes,42.8,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.2
Female,30,No,0,0,13,,No,0.0,No,Yes,DSL,53.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,23.9
Male,64,Yes,1,10,42,Offer B,Yes,16.67,Yes,Yes,Cable,17.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.4
Female,37,Yes,0,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8
Female,54,Yes,1,6,57,Offer B,Yes,18.85,No,Yes,Cable,24.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,59.3
Male,41,No,0,0,7,Offer E,Yes,30.04,No,Yes,DSL,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,43.9
Female,32,No,0,0,60,,Yes,16.11,Yes,Yes,Cable,18.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,80.55
Male,54,Yes,1,7,47,,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2
Female,34,Yes,0,8,19,,Yes,7.84,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85
Male,45,Yes,2,9,26,,Yes,43.84,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.15
Male,57,No,0,0,19,,Yes,29.55,No,Yes,Fiber Optic,13.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.7
Male,65,Yes,0,2,7,,Yes,34.66,Yes,Yes,Fiber Optic,3.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.95
Male,53,No,0,0,71,,Yes,6.75,Yes,Yes,Fiber Optic,15.0,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,86.4
Female,36,No,0,0,51,Offer B,Yes,14.37,No,Yes,Fiber Optic,7.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,87.55
Female,73,Yes,0,1,47,,Yes,26.95,No,Yes,Fiber Optic,26.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.55
Male,43,Yes,0,1,29,,Yes,40.49,No,Yes,Fiber Optic,15.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,94.65
Male,38,No,0,0,12,Offer D,Yes,13.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.55
Female,25,Yes,0,1,53,Offer B,Yes,37.85,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.8
Male,35,No,0,0,46,Offer B,No,0.0,No,Yes,DSL,18.0,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,33.7
Male,33,Yes,1,4,20,,No,0.0,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4
Male,47,Yes,0,0,62,,Yes,14.05,No,Yes,DSL,25.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,71.4
Female,35,Yes,2,1,72,,Yes,17.89,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,107.45
Male,20,No,0,0,5,,No,0.0,No,Yes,DSL,59.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,51.0
Male,56,No,0,0,1,Offer E,Yes,3.13,No,Yes,Fiber Optic,5.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95
Male,42,Yes,3,1,32,,Yes,43.37,No,Yes,Fiber Optic,76.0,Yes,Yes,Yes,No,No,Yes,Yes,No,One Year,No,Credit Card,94.8
Male,53,No,3,0,15,,Yes,32.54,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,24.8
Male,50,Yes,0,0,45,Offer B,Yes,29.81,Yes,Yes,Fiber Optic,27.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107.75
Female,57,Yes,0,1,45,Offer B,Yes,33.54,Yes,Yes,Fiber Optic,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,113.3
Female,62,No,0,0,72,,Yes,42.36,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.25
Female,48,Yes,3,3,12,,Yes,19.28,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3
Female,42,No,0,0,2,Offer E,Yes,14.7,No,Yes,DSL,13.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,49.05
Male,70,No,0,0,2,,Yes,25.19,Yes,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85
Female,46,No,0,0,5,,Yes,10.99,No,Yes,DSL,29.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.05
Male,33,No,0,0,30,,Yes,30.06,No,Yes,Fiber Optic,19.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.25
Male,72,Yes,0,6,44,Offer B,Yes,14.65,Yes,Yes,Fiber Optic,30.0,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,89.2
Female,37,No,0,0,25,Offer C,No,0.0,No,Yes,Cable,29.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,54.2
Male,50,No,0,0,3,Offer E,Yes,13.83,Yes,Yes,Fiber Optic,14.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.35
Male,61,No,1,0,30,Offer C,No,0.0,No,Yes,DSL,17.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.5
Female,58,No,0,0,10,,Yes,8.35,No,Yes,Cable,29.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,60.95
Male,31,Yes,0,1,71,Offer A,Yes,18.42,Yes,Yes,DSL,29.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,90.35
Female,39,No,0,0,41,,Yes,6.61,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.25
Female,57,Yes,3,10,16,Offer D,Yes,27.27,No,Yes,Fiber Optic,76.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100.7
Female,19,No,0,0,19,,Yes,24.35,No,Yes,Cable,69.0,No,Yes,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,58.2
Female,56,No,0,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9
Female,75,Yes,0,1,34,,Yes,2.88,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25
Male,78,No,0,0,7,,Yes,32.4,Yes,Yes,Fiber Optic,7.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,73.75
Female,50,No,0,0,6,,Yes,39.36,No,Yes,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,69.25
Female,35,Yes,2,3,57,Offer B,Yes,42.18,No,Yes,Fiber Optic,22.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,95.0
Female,25,Yes,0,1,30,Offer C,Yes,4.82,Yes,Yes,Fiber Optic,41.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0
Female,23,Yes,3,4,10,Offer E,Yes,20.05,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.0
Male,71,Yes,0,1,24,,Yes,2.05,Yes,Yes,Fiber Optic,22.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85
Female,28,Yes,3,1,72,Offer A,No,0.0,No,Yes,Cable,59.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,55.65
Male,78,Yes,0,1,16,,Yes,45.9,No,Yes,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.8
Female,71,No,0,0,3,Offer E,Yes,2.26,No,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4
Male,58,Yes,0,1,40,Offer B,Yes,16.33,Yes,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.1
Male,42,No,0,0,2,,Yes,44.34,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.35
Female,32,No,0,0,35,,Yes,19.07,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.45
Male,62,Yes,0,4,29,,Yes,39.5,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.8
Male,47,No,0,0,26,Offer C,Yes,3.26,No,Yes,DSL,6.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,59.45
Female,39,No,0,0,64,,Yes,28.13,Yes,Yes,Fiber Optic,18.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,100.05
Male,68,Yes,0,1,44,,Yes,24.62,Yes,Yes,Cable,14.0,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,88.4
Male,62,No,3,0,40,,No,0.0,No,Yes,Cable,57.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,40.25
Male,39,Yes,0,1,15,Offer D,Yes,34.63,Yes,Yes,Fiber Optic,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9
Male,29,No,0,0,62,,Yes,14.17,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.85
Female,47,Yes,3,0,1,,Yes,34.57,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.5
Male,79,No,0,0,21,,Yes,23.23,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.5
Female,59,Yes,0,7,51,,Yes,20.47,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,25.5
Female,42,No,0,0,4,,Yes,9.81,No,Yes,DSL,30.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7
Male,58,No,0,0,10,,Yes,15.71,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.5
Female,55,Yes,0,1,61,Offer B,Yes,25.14,Yes,Yes,Fiber Optic,13.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.35
Female,31,Yes,0,3,71,Offer A,No,0.0,No,Yes,Cable,8.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,58.65
Female,41,Yes,3,9,51,,Yes,27.23,Yes,Yes,Fiber Optic,75.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.8
Male,75,Yes,0,8,37,,Yes,23.54,No,Yes,Fiber Optic,7.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,72.25
Female,25,No,0,0,10,Offer D,Yes,45.42,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.3
Male,74,Yes,0,1,16,Offer D,Yes,26.12,No,Yes,Fiber Optic,8.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.3
